PO_ID,Supplier,Supplier_Reliability_Score,Supplier_Reliability_Bucket,Order_Date,Delivery_Date,Expected_Delivery_Date,Expected_Delivery_Days,Order_Status,Order_Status_Clean,Item_Category,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance_Flag,Defective_Rate,Delivery_Delay_Days,Delay_Label,Price_Gap,Price_Gap_Pct,Price_Anomaly_Score
PO-00001,Alpha_Inc,0.92,very_high,2023-10-17,2023-10-25,2023-10-24,7,Cancelled,cancelled,Office Supplies,1176,20.13,17.81,0,1,0.0,1,1,2.3200000000000003,0.11525086934923003,0.7520963615794524
PO-00002,Delta_Logistics,0.68,low,2022-04-25,2022-05-05,2022-05-02,7,Delivered,delivered,Office Supplies,1509,39.32,37.34,235,1,0.15573227302849568,3,1,1.9799999999999969,0.050356052899287816,0.2881356039052542
PO-00003,Gamma_Co,0.76,medium,2022-01-26,2022-02-15,2022-02-05,10,Delivered,delivered,MRO,910,95.51,92.26,41,1,0.045054945054945054,10,1,3.25,0.034027850486860016,0.17139831151193524
PO-00004,Beta_Supplies,0.83,high,2022-10-09,2022-10-28,2022-10-17,8,Delivered,delivered,Packaging,1344,99.85,95.52,112,1,0.08333333333333333,11,1,4.329999999999998,0.04336504757135702,0.23815392114091358
PO-00005,Delta_Logistics,0.68,low,2022-09-08,2022-09-20,2022-09-20,12,Delivered,delivered,Raw Materials,1180,64.07,60.53,171,0,0.14491525423728813,0,0,3.539999999999992,0.05525206805056957,0.32313930718138945
PO-00006,Epsilon_Group,0.55,very_low,2022-08-17,2022-08-29,2022-08-27,10,Delivered,delivered,MRO,1145,69.21,63.57,39,1,0.03406113537117904,2,1,5.6399999999999935,0.08149111400086684,0.5107334526881969
PO-00007,Gamma_Co,0.76,medium,2022-05-23,2022-06-03,2022-06-02,10,Delivered,delivered,MRO,1774,51.37,47.82,96,0,0.05411499436302142,1,1,3.549999999999997,0.0691064823827136,0.4221904320987716
PO-00008,Alpha_Inc,0.92,very_high,2022-04-15,2022-04-29,2022-04-25,10,Delivered,delivered,MRO,1094,36.93,32.78,22,1,0.02010968921389397,4,1,4.149999999999999,0.11237476306525856,0.7315338494458025
PO-00009,Gamma_Co,0.76,medium,2023-11-24,2023-11-28,2023-12-06,12,Partially Delivered,partial,Raw Materials,1688,43.93,39.89,89,1,0.052725118483412325,0,1,4.039999999999999,0.09196448895970862,0.585612083172628
PO-00010,Gamma_Co,0.76,medium,2023-07-13,2023-07-25,2023-07-25,12,Pending,pending,Raw Materials,171,76.87,70.2,8,1,0.04678362573099415,0,1,6.670000000000002,0.0867698712111357,0.548473542403123
PO-00011,Epsilon_Group,0.55,very_low,2022-03-31,2022-04-15,2022-04-12,12,Delivered,delivered,Raw Materials,5000,78.49,73.68,18,1,0.0036,3,1,4.809999999999988,0.06128169193527823,0.36624766342734294
PO-00012,Beta_Supplies,0.83,high,2023-08-28,2023-09-11,2023-09-09,12,Delivered,delivered,Raw Materials,5000,88.96,86.58,115,1,0.023,2,1,2.3799999999999955,0.02675359712230211,0.11939156756594206
